,respondent_id,living_prefecture_ja,living_prefecture_en,hometown_prefecture_ja,hometown_prefecture_en
0,0,東京,Tokyo,愛知,Aichi
1,1,山形,Yamagata,山形,Yamagata
2,2,東京,Tokyo,秋田,Akita
3,3,神奈川,Kanagawa,神奈川,Kanagawa
4,4,新潟,Niigata,新潟,Niigata
5,5,奈良,Nara,熊本,Kumamoto
6,6,北海道,Hokkaido,北海道,Hokkaido
7,7,北海道,Hokkaido,北海道,Hokkaido
8,8,愛知,Aichi,愛知,Aichi
9,9,東京,Tokyo,東京,Tokyo
10,10,東京,Tokyo,東京,Tokyo
11,11,東京,Tokyo,北海道,Hokkaido
12,12,三重,Mie,福岡,Fukuoka
13,13,大分,Oita,鹿児島,Kagoshima
14,14,山梨,Yamanashi,山梨,Yamanashi
15,15,福岡,Fukuoka,大分,Oita
16,16,大分,Oita,熊本,Kumamoto
17,17,愛知,Aichi,大阪,Osaka
18,18,東京,Tokyo,東京,Tokyo
19,19,東京,Tokyo,埼玉,Saitama
20,20,兵庫,Hyogo,兵庫,Hyogo
21,21,富山,Toyama,富山,Toyama
22,22,長野,Nagano,和歌山,Wakayama
23,23,東京,Tokyo,東京,Tokyo
24,24,鹿児島,Kagoshima,鹿児島,Kagoshima
25,25,新潟,Niigata,新潟,Niigata
26,26,兵庫,Hyogo,兵庫,Hyogo
27,27,福岡,Fukuoka,福岡,Fukuoka
28,28,愛知,Aichi,愛知,Aichi
29,29,新潟,Niigata,新潟,Niigata
30,30,兵庫,Hyogo,兵庫,Hyogo
31,31,鳥取,Tottori,鳥取,Tottori
32,32,千葉,Chiba,埼玉,Saitama
33,33,愛知,Aichi,愛知,Aichi
34,34,大分,Oita,大分,Oita
35,35,奈良,Nara,京都,Kyoto
36,36,埼玉,Saitama,宮崎,Miyazaki
37,37,広島,Hiroshima,福岡,Fukuoka
38,38,東京,Tokyo,神奈川,Kanagawa
39,39,神奈川,Kanagawa,神奈川,Kanagawa
40,40,岐阜,Gifu,岐阜,Gifu
41,41,群馬,Gunma,群馬,Gunma
42,42,兵庫,Hyogo,兵庫,Hyogo
43,43,神奈川,Kanagawa,神奈川,Kanagawa
44,44,神奈川,Kanagawa,東京,Tokyo
45,45,東京,Tokyo,東京,Tokyo
46,46,奈良,Nara,愛知,Aichi
47,47,北海道,Hokkaido,北海道,Hokkaido
48,48,東京,Tokyo,大阪,Osaka
49,49,三重,Mie,三重,Mie
50,50,大阪,Osaka,大阪,Osaka
51,51,徳島,Tokushima,徳島,Tokushima
52,52,宮城,Miyagi,宮城,Miyagi
53,53,広島,Hiroshima,広島,Hiroshima
54,54,東京,Tokyo,広島,Hiroshima
55,55,東京,Tokyo,東京,Tokyo
56,56,福島,Fukushima,福島,Fukushima
57,57,埼玉,Saitama,埼玉,Saitama
58,58,京都,Kyoto,奈良,Nara
59,59,神奈川,Kanagawa,神奈川,Kanagawa
60,60,埼玉,Saitama,埼玉,Saitama
61,61,新潟,Niigata,新潟,Niigata
62,62,福岡,Fukuoka,福岡,Fukuoka
63,63,福島,Fukushima,山形,Yamagata
64,64,東京,Tokyo,埼玉,Saitama
65,65,福岡,Fukuoka,鹿児島,Kagoshima
66,66,福島,Fukushima,福島,Fukushima
67,67,大分,Oita,大分,Oita
68,68,東京,Tokyo,徳島,Tokushima
69,69,埼玉,Saitama,宮城,Miyagi
70,70,東京,Tokyo,東京,Tokyo
71,71,兵庫,Hyogo,大阪,Osaka
72,72,広島,Hiroshima,広島,Hiroshima
73,73,北海道,Hokkaido,北海道,Hokkaido
74,74,埼玉,Saitama,埼玉,Saitama
75,75,北海道,Hokkaido,北海道,Hokkaido
76,76,愛知,Aichi,愛知,Aichi
77,77,岩手,Iwate,宮城,Miyagi
78,78,和歌山,Wakayama,和歌山,Wakayama
79,79,岐阜,Gifu,岐阜,Gifu
80,80,東京,Tokyo,北海道,Hokkaido
81,81,東京,Tokyo,東京,Tokyo
82,82,東京,Tokyo,東京,Tokyo
83,83,兵庫,Hyogo,大阪,Osaka
84,84,兵庫,Hyogo,広島,Hiroshima
85,85,長崎,Nagasaki,長崎,Nagasaki
86,86,宮崎,Miyazaki,宮崎,Miyazaki
